image_link,group_id,entity_name,entity_value,extracted_texts,number_in_extracted_text,extracted_value,final_ext_val
https://m.media-amazon.com/images/I/51H9wnjdA+L.jpg,941818,depth,30.0 centimetre,"['11.5CM', '30CM', '10CM']",True,"[{'role': 'user', 'content': ""Information: ['11.5CM', '30CM', '10CM']\n                    Allowed units: ['centimetre', 'foot', 'millimetre', 'metre', 'inch', 'yard']\n                    \n                    What is the depth?""}, {'role': 'assistant', 'content': '30CM'}]",30CM
https://m.media-amazon.com/images/I/615+YUQO7SL.jpg,894418,depth,14.9 inch,"['10.1inch', '120', '13.4inch', '14.9inch']",True,"[{'role': 'user', 'content': ""Information: ['10.1inch', '120', '13.4inch', '14.9inch']\n                    Allowed units: ['centimetre', 'foot', 'millimetre', 'metre', 'inch', 'yard']\n                    \n                    What is the depth?""}, {'role': 'assistant', 'content': ""Since the information provided does not specify the depth, I will assume the given information is about length or width. However, since the value '120' is provided without any unit, I will assume it to be the depth. \n\nThe value of the depth is 120 inch.""}]","Since the information provided does not specify the depth, I will assume the given information is about length or width. However, since the value '120' is provided without any unit, I will assume it to be the depth. 

The value of the depth is 120 inch."
https://m.media-amazon.com/images/I/51USFZYcyBL.jpg,455402,height,14.9 inch,"['7.86 in/20cm', '14.9 in/38 cm']",True,"[{'role': 'user', 'content': ""Information: ['7.86 in/20cm', '14.9 in/38 cm']\n                    Allowed units: ['centimetre', 'foot', 'millimetre', 'metre', 'inch', 'yard']\n                    \n                    What is the height?""}, {'role': 'assistant', 'content': '7.86 in'}]",7.86 in
https://m.media-amazon.com/images/I/71qoJgp38FL.jpg,459516,item_weight,100 gram,"['100%PURE', '100%', '100 g', 'Ingredients:100%Pure &Natural', '100g', 'Usage:2to 4 grams 1-2 tbsp)', '5.80', '54.89', '10.94', 'BEST BEFORE 24 MONTHS', 'ssai No.11521053000279', '11.50', 'Shet Gat No.30,Dal Mill Lane,', 'Use within 3 months from opening', 'Kelapur-445302,Maharashtra,India', 'Customer Care:8862068612 or']",True,"[{'role': 'user', 'content': ""Information: ['100%PURE', '100%', '100 g', 'Ingredients:100%Pure &Natural', '100g', 'Usage:2to 4 grams 1-2 tbsp)', '5.80', '54.89', '10.94', 'BEST BEFORE 24 MONTHS', 'ssai No.11521053000279', '11.50', 'Shet Gat No.30,Dal Mill Lane,', 'Use within 3 months from opening', 'Kelapur-445302,Maharashtra,India', 'Customer Care:8862068612 or']\n                    Allowed units: ['milligram', 'kilogram', 'microgram', 'gram', 'ounce', 'ton', 'pound']\n                    \n                    What is the item_weight?""}, {'role': 'assistant', 'content': '2-4 grams'}]",2-4 grams
https://m.media-amazon.com/images/I/51cs4enkA0L.jpg,916768,depth,10.63 inch,"['10.63 in', '10.63 in']",True,"[{'role': 'user', 'content': ""Information: ['10.63 in', '10.63 in']\n                    Allowed units: ['centimetre', 'foot', 'millimetre', 'metre', 'inch', 'yard']\n                    \n                    What is the depth?""}, {'role': 'assistant', 'content': '10.63 inch'}]",10.63 inch
https://m.media-amazon.com/images/I/61fQzA2H+9L.jpg,281678,item_weight,37.0 gram,"['C2007', '25 TEA BAGS NET WT1OZ37g']",True,"[{'role': 'user', 'content': ""Information: ['C2007', '25 TEA BAGS NET WT1OZ37g']\n                    Allowed units: ['milligram', 'kilogram', 'microgram', 'gram', 'ounce', 'ton', 'pound']\n                    \n                    What is the item_weight?""}, {'role': 'assistant', 'content': '37g'}]",37g
https://m.media-amazon.com/images/I/51ijNMFUIBL.jpg,235313,height,41.0 centimetre,"['41cm', '24,5 cm']",True,"[{'role': 'user', 'content': ""Information: ['41cm', '24,5 cm']\n                    Allowed units: ['centimetre', 'foot', 'millimetre', 'metre', 'inch', 'yard']\n                    \n                    What is the height?""}, {'role': 'assistant', 'content': '41cm'}]",41cm
https://m.media-amazon.com/images/I/61BkZ7eNgxL.jpg,658892,depth,8.0 inch,"['B-1.5 In', '8 In']",True,"[{'role': 'user', 'content': ""Information: ['B-1.5 In', '8 In']\n                    Allowed units: ['centimetre', 'foot', 'millimetre', 'metre', 'inch', 'yard']\n                    \n                    What is the depth?""}, {'role': 'assistant', 'content': '8 inch'}]",8 inch
https://m.media-amazon.com/images/I/613Bw7syNkL.jpg,705487,width,3.0 metre,"['Gr0Be 6x8 m', 'Gewicht 100g/m3']",True,"[{'role': 'user', 'content': ""Information: ['Gr0Be 6x8 m', 'Gewicht 100g/m3']\n                    Allowed units: ['centimetre', 'foot', 'millimetre', 'metre', 'inch', 'yard']\n                    \n                    What is the width?""}, {'role': 'assistant', 'content': '6 metre'}]",6 metre
https://m.media-amazon.com/images/I/71Bmw+Xfk8L.jpg,752266,wattage,300.0 watt,"['300W', '200W', '10-23ft', '100W', '10-16.5ft', '10ft', 'Watts:100w', 'Line length:75', 'Lamp type:2835 6V1W', 'Number of lamp beads(pcs):144', 'Lighting angle (degrees):120', 'Input voltage/V:180-240V50/71Hz', 'Colortemperature/K:6500K', 'Output voltage/V:216V', 'Productsizemm):220*75*75', 'Lumen LM(actual):10000LM', 'Product weight (g):902', 'Waterproof and dustproof grade:IP65']",True,"[{'role': 'user', 'content': ""Information: ['300W', '200W', '10-23ft', '100W', '10-16.5ft', '10ft', 'Watts:100w', 'Line length:75', 'Lamp type:2835 6V1W', 'Number of lamp beads(pcs):144', 'Lighting angle (degrees):120', 'Input voltage/V:180-240V50/71Hz', 'Colortemperature/K:6500K', 'Output voltage/V:216V', 'Productsizemm):220*75*75', 'Lumen LM(actual):10000LM', 'Product weight (g):902', 'Waterproof and dustproof grade:IP65']\n                    Allowed units: ['kilowatt', 'watt']\n                    \n                    What is the wattage?""}, {'role': 'assistant', 'content': '100w'}]",100w
